City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,invercargill,-46.4,168.35,2.7900000000000205,91,97,0.45,NZ,1722535709
94,kalamata,37.0389,22.1142,27.870000000000005,57,20,1.54,GR,1722535713
95,mount pearl,47.5166,-52.7813,29.620000000000005,62,75,7.72,CA,1722535434
96,tindouf,27.6711,-8.1474,42.129999999999995,7,0,9.62,DZ,1722535715
97,tongliao,43.6125,122.2653,21.370000000000005,96,94,3.01,CN,1722535716
98,guajara mirim,-10.7828,-65.3394,38.120000000000005,19,0,1.96,BR,1722535717
99,alta,69.9689,23.2717,17.590000000000032,77,75,4.12,NO,1722535466
100,wailua homesteads,22.0669,-159.378,25.439999999999998,73,20,5.14,US,1722535721
101,puerto baquerizo moreno,-0.9,-89.6,23.55000000000001,83,75,2.06,EC,1722535690
102,pisco,-13.7,-76.2167,18.340000000000032,82,75,4.63,PE,1722535724
103,nova vicosa,-17.8919,-39.3719,23.710000000000036,77,55,6.86,BR,1722535725
104,morehead city,34.7229,-76.726,33.35000000000002,77,0,7.72,US,1722535726
105,shalkar,47.8288,59.6258,28.32000000000005,26,19,5.7,KZ,1722535727
106,berezovyy,51.6667,135.7,14.580000000000041,82,100,1.23,RU,1722535728
107,cabo san lucas,22.8909,-109.9124,32.610000000000014,70,75,4.02,MX,1722535729
108,stanley,54.868,-1.6985,20.400000000000034,79,20,1.54,GB,1722535730
109,zeya,53.75,127.2667,10.420000000000016,79,40,2.94,RU,1722535732
110,susuman,62.7833,148.1667,1.8700000000000045,87,94,1.76,RU,1722535733
111,kupang,-10.1667,123.5833,26.32000000000005,83,35,2.57,ID,1722535734
112,luderitz,-26.6481,15.1594,15.420000000000016,53,0,6.87,NA,1722535735
113,margaret river,-33.95,115.0667,11.04000000000002,62,93,3.06,AU,1722535736
114,wanning,18.8003,110.3967,26.80000000000001,89,3,4.8,CN,1722535738
115,kuhmo,64.1333,29.5167,14.960000000000036,86,100,2.02,FI,1722535739
116,sao miguel do araguaia,-13.275,-50.1628,35.54000000000002,16,0,3.07,BR,1722535740
117,kanel,15.4916,-13.1763,37.30000000000001,35,99,6.27,SN,1722535741
118,bredasdorp,-34.5322,20.0403,9.400000000000034,88,4,1.54,ZA,1722535669
119,las animas,-39.8087,-73.2182,12.080000000000041,94,100,5.56,CL,1722535743
120,vishnyeva,54.7122,26.5225,15.29000000000002,84,51,2.45,BY,1722535744
121,mirny,62.5353,113.9611,7.5400000000000205,73,53,1.09,RU,1722535745
122,longyearbyen,78.2186,15.6401,13.910000000000025,62,0,1.54,SJ,1722535746
123,namibe,-15.1961,12.1522,17.0,86,37,2.45,AO,1722535747
124,maloye ganyushkino,46.6,49.2667,26.28000000000003,30,36,3.86,KZ,1722535749
125,axim,4.8699,-2.2405,23.660000000000025,90,100,4.21,GH,1722535750
126,udachny,66.4167,112.4,7.980000000000018,62,7,1.7,RU,1722535562
127,buulobarde,3.8538,45.5674,25.170000000000016,65,94,9.15,SO,1722535752
128,greymouth,-42.4667,171.2,-0.16999999999995907,89,8,3.86,NZ,1722535753
129,dhidhdhoo,6.8833,73.1,28.600000000000023,79,100,5.86,MV,1722535754
130,batie,9.8833,-2.9167,26.939999999999998,71,97,1.78,BF,1722535755
131,gardnerville ranchos,38.8882,-119.7413,31.55000000000001,23,0,2.24,US,1722535756
132,corum,40.5,34.75,17.430000000000007,59,0,2.93,TR,1722535758
133,st. john's,47.5649,-52.7093,30.08000000000004,61,75,7.72,CA,1722535503
134,kununurra,-15.7667,128.7333,14.990000000000009,82,3,0.0,AU,1722535760
135,port alfred,-33.5906,26.891,14.510000000000048,67,0,2.88,ZA,1722535761
136,darwin,-12.4611,130.8418,21.99000000000001,78,51,2.06,AU,1722535762
137,la ronge,55.1001,-105.2842,21.0,46,2,6.87,CA,1722535763
138,cadale,2.7603,46.3222,25.010000000000048,84,76,8.71,SO,1722535764
139,kegen,43.0197,79.2203,15.720000000000027,51,1,2.45,KZ,1722535765
140,isafjordur,66.0755,-23.124,10.020000000000039,76,75,10.8,IS,1722535766
141,kanniyakumari,8.0833,77.5667,26.03000000000003,80,100,8.25,IN,1722535767
142,mutuali,-14.8706,37.0044,19.890000000000043,42,0,2.88,MZ,1722535768
143,punta del este,-34.9667,-54.95,25.060000000000002,78,0,4.63,UY,1722535521
